"Date","222 m","318 m","380 m","902 m","1245 m"
2002-10-25,6.871,6.238,6.011,4.03,3.823
2002-10-26,7.24,6.469,6.352,4.012,3.824
2002-10-27,7.377,6.63,6.598,3.988,3.83
2002-10-28,7.186,6.403,6.188,3.975,3.842
2002-10-29,7.095,6.509,6.176,3.955,3.869
2002-10-30,7.25,6.803,6.447,3.952,3.903
2002-10-31,7.431,7.147,6.807,3.948,3.935
2002-11-01,7.599,7.407,7.095,3.949,3.961
2002-11-02,7.742,6.843,6.906,3.969,3.983
2002-11-03,7.317,6.109,6.404,3.986,3.996
2002-11-04,7.303,6.333,6.499,3.978,3.987
2002-11-05,7.559,6.783,6.792,3.959,3.973
2002-11-06,7.749,6.957,7.052,3.932,3.952
2002-11-07,7.949,7.108,7.226,3.902,3.931
2002-11-08,8.063,6.231,6.971,3.856,3.9
2002-11-09,7.927,5.936,6.332,3.797,3.852
2002-11-10,7.192,5.822,5.676,3.76,3.803
2002-11-11,7.618,6.138,6.035,3.736,3.758
2002-11-12,7.495,6.15,5.915,3.736,3.724
2002-11-13,6.732,6.033,5.874,3.732,3.718
2002-11-14,6.978,6.074,5.955,3.718,3.691
2002-11-15,7.131,6.064,5.827,3.711,3.667
2002-11-16,7.223,6.115,5.918,3.701,3.649
2002-11-17,7.256,6.09,6.031,3.702,3.641
2002-11-18,7.449,6.116,6.443,3.684,3.61
2002-11-19,5.774,5.442,5.408,3.702,3.58
2002-11-20,5.478,5.518,5.377,3.74,3.576
2002-11-21,5.609,5.882,5.921,3.696,3.541
2002-11-22,5.895,6.096,6.149,3.695,3.537
2002-11-23,6.523,6.515,6.379,3.692,3.547
2002-11-24,6.372,6.093,6.063,3.706,3.563
2002-11-25,5.504,5.57,5.318,3.748,3.589
2002-11-26,5.501,5.814,5.657,3.774,3.622
2002-11-27,5.658,5.998,6.131,3.751,3.641
2002-11-28,5.827,6.234,6.348,3.75,3.663
2002-11-29,6.137,6.397,6.284,3.747,3.679
2002-11-30,6.329,6.332,6.197,3.763,3.695
2002-12-01,6.473,6.287,6.161,3.772,3.699
2002-12-02,6.383,5.932,5.961,3.755,3.688
2002-12-03,5.743,5.46,5.454,3.759,3.684
2002-12-04,5.845,5.581,5.696,3.725,3.675
2002-12-05,6.054,5.74,5.831,3.701,3.659
2002-12-06,6.228,5.932,5.948,3.69,3.644
2002-12-07,6.64,6.534,6.331,3.684,3.632
2002-12-08,6.95,6.728,6.345,3.697,3.623
2002-12-09,7.033,6.369,6.228,3.722,3.625
2002-12-10,7.041,6.512,6.405,3.737,3.631
2002-12-11,7.364,6.546,6.25,3.752,3.639
2002-12-12,7.533,7.131,6.898,3.767,3.656
2002-12-13,7.761,7.084,7.273,3.792,3.676
2002-12-14,8.025,6.624,7.451,3.832,3.703
2002-12-15,8.244,6.684,7.29,3.877,3.723
2002-12-16,7.331,6.069,6.234,3.936,3.74
2002-12-17,7.517,6.596,6.791,3.94,3.755
2002-12-18,8.118,7.7,7.822,3.946,3.779
2002-12-19,8.453,6.459,8.176,3.966,3.81
2002-12-20,8.655,5.921,8.053,4.014,3.845
2002-12-21,8.832,6.402,8.097,4.064,3.88
2002-12-22,8.301,5.984,6.627,4.113,3.908
2002-12-23,7.656,6.205,6.314,4.128,3.936
2002-12-24,8.135,6.682,6.666,4.124,3.962
2002-12-25,8.321,6.678,6.542,4.148,3.988
2002-12-26,8.561,7.061,7.033,4.163,4.007
2002-12-27,7.957,6.598,6.305,4.198,4.019
2002-12-28,7.893,6.764,6.681,4.206,4.025
2002-12-29,8.403,7.169,7.081,4.203,4.024
2002-12-30,8.841,7.068,6.947,4.207,4.019
2002-12-31,8.88,7.284,7.212,4.218,4.014
2003-01-01,8.921,7.627,7.665,4.218,4.003
2003-01-02,9.017,6.676,7.091,4.237,3.999
2003-01-03,9.067,7.62,8.015,4.217,3.992
2003-01-04,9.05,7.496,8.805,4.207,3.987
2003-01-05,8.94,6.087,8.56,4.223,3.992
2003-01-06,8.931,6.442,7.749,4.27,4.004
2003-01-07,9.04,6.815,7.712,4.304,4.025
2003-01-08,9.049,6.837,7.415,4.333,4.076
2003-01-09,8.505,6.338,6.593,4.336,4.114
2003-01-10,7.617,6.197,6.297,4.341,4.133
2003-01-11,7.895,6.463,6.536,4.324,4.126
2003-01-12,7.697,6.269,6.214,4.305,4.104
2003-01-13,7.116,6.218,6.07,4.289,4.085
2003-01-14,7.404,6.37,6.185,4.27,4.071
2003-01-15,7.322,6.391,6.077,4.266,4.063
2003-01-16,7.606,6.583,6.576,4.234,4.042
2003-01-17,8.022,6.557,6.602,4.214,4.027
2003-01-18,8.151,6.576,6.788,4.19,4.014
2003-01-19,7.94,6.73,7.167,4.166,4.008
2003-01-20,7.949,5.928,6.738,4.16,4.012
2003-01-21,7.511,5.469,5.736,4.157,4.007
2003-01-22,5.422,5.159,4.734,4.142,3.975
2003-01-23,4.606,5.025,4.422,4.109,3.928
2003-01-24,4.905,5.011,5.02,4.077,3.897
2003-01-25,5.397,5.925,5.74,4.026,3.842
2003-01-26,5.63,6.377,6.016,3.998,3.827
2003-01-27,5.897,5.886,6.202,3.985,3.846
2003-01-28,6.071,6.03,6.134,3.968,3.832
2003-01-29,6.29,5.647,6.023,3.958,3.812
2003-01-30,6.527,5.721,5.982,3.971,3.812
2003-01-31,6.826,6.484,6.427,3.983,3.815
2003-02-01,6.794,5.912,6.728,3.996,3.816
2003-02-02,6.709,4.497,6.437,4.026,3.841
2003-02-03,6.79,4.368,5.531,4.061,3.856
2003-02-04,5.362,4.483,4.488,4.1,3.862
2003-02-05,5.863,4.59,5.209,4.091,3.829
2003-02-06,5.003,4.401,4.773,4.072,3.758
2003-02-07,4.643,4.456,4.527,4.066,3.712
2003-02-08,5.033,4.512,4.913,4.037,3.675
2003-02-09,5.441,4.615,5.084,4.012,3.665
2003-02-10,5.403,4.603,5.037,3.997,3.67
